sample,time,temp1,val1,val2,val3,
314,1380.2666,24.070,+1.05906105E+01,1.05907682E+01,+2.04000000E-02,
315,1384.6695,24.070,+1.05906105E+01,1.05907666E+01,+2.02690000E-02,
316,1389.0716,24.070,+1.05906111E+01,1.05907664E+01,+2.02690000E-02,
317,1393.4736,24.062,+1.05906113E+01,1.05907647E+01,+2.02690000E-02,
318,1397.8765,24.062,+1.05906100E+01,1.05907643E+01,+2.04000000E-02,
319,1402.2778,24.062,+1.05906106E+01,1.05907658E+01,+2.02690000E-02,
320,1406.6795,24.062,+1.05906100E+01,1.05907672E+01,+2.04000000E-02,
321,1411.0817,24.070,+1.05906105E+01,1.05907673E+01,+2.04000000E-02,
322,1415.4859,24.070,+1.05906101E+01,1.05907670E+01,+2.04000000E-02,
323,1419.8891,24.070,+1.05906109E+01,1.05907671E+01,+2.04000000E-02,
324,1424.2893,24.070,+1.05906105E+01,1.05907656E+01,+2.04000000E-02,
325,1428.6923,24.070,+1.05906108E+01,1.05907679E+01,+2.02690000E-02,
326,1433.0987,24.070,+1.05906116E+01,1.05907661E+01,+2.02690000E-02,
327,1437.4994,24.070,+1.05906109E+01,1.05907659E+01,+2.02690000E-02,
328,1441.9037,24.070,+1.05906106E+01,1.05907633E+01,+2.04000000E-02,
329,1446.3062,24.070,+1.05906105E+01,1.05907674E+01,+2.02690000E-02,
330,1450.7093,24.070,+1.05906103E+01,1.05907680E+01,+2.04000000E-02,
331,1455.1125,24.070,+1.05906101E+01,1.05907692E+01,+2.04000000E-02,
332,1459.5199,24.070,+1.05906097E+01,1.05907693E+01,+2.04000000E-02,
333,1463.9189,24.078,+1.05906101E+01,1.05907687E+01,+2.02690000E-02,
334,1468.3217,24.078,+1.05906093E+01,1.05907667E+01,+2.02690000E-02,
335,1472.7249,24.078,+1.05906098E+01,1.05907695E+01,+2.02690000E-02,
336,1477.1292,24.078,+1.05906095E+01,1.05907663E+01,+2.02690000E-02,
